,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
tres,15,38,9,NUM
número,1,,9,NOUN
hallaba,1,2,9,VERB
miraron,4,50,9,VERB
experiencia,,2,9,NOUN
reverencia,1,5,9,NOUN
apareció,1,24,9,VERB
creía,4,5,9,VERB
preguntas,1,2,9,NOUN
confianza,1,2,9,NOUN
averiguar,1,1,9,VERB
mirando,20,37,9,VERB
pesar,9,3,9,NOUN
antiguos,,2,9,ADJ
vuelto,4,3,9,ADJ
peso,4,3,9,NOUN
fama,,,9,NOUN
triunfo,,2,9,NOUN
niña,10,10,9,NOUN
reacción,,1,9,NOUN
abría,2,9,9,VERB
conoce,,3,9,VERB
fe,,1,9,NOUN
necesitaba,4,3,9,VERB
pagar,2,2,9,VERB
acostumbrado,2,3,9,ADJ
llevaba,7,29,9,VERB
nueva,5,10,9,ADJ
oscuras,,13,9,ADJ
servía,3,4,9,VERB
signos,2,3,9,NOUN
oculta,1,,9,ADJ
ustedes,3,12,9,PRON
respiración,7,1,9,NOUN
abrir,3,8,9,VERB
natural,7,6,9,ADJ
trata,8,2,9,VERB
posibilidad,,2,9,NOUN
ocasiones,,,9,NOUN
propiedad,,1,9,NOUN
mantener,1,,9,VERB
impulso,1,,9,NOUN
fidelidad,2,,9,NOUN
fuerza,4,3,9,NOUN
piedras,2,14,9,NOUN
busca,1,7,8,NOUN VERB
negaba,1,4,8,VERB
cartas,,3,8,NOUN
indias,,,8,ADJ
además,5,3,8,ADV
daño,2,2,8,NOUN
volvían,2,11,8,VERB
cielo,9,4,8,NOUN
rumor,1,2,8,NOUN
refugio,,,8,NOUN
comer,7,4,8,VERB
evidente,2,,8,ADJ
barrios,,,8,NOUN
cierta,,1,8,DET
responder,,1,8,VERB
movía,2,5,8,VERB
habitaciones,1,14,8,NOUN
sacrificio,,,8,NOUN
recibió,2,7,8,VERB
ahí,10,10,8,ADV
segura,1,7,8,ADJ
suelta,,,8,NOUN
soportar,1,,8,VERB
hecha,1,5,8,ADJ
entero,,7,8,ADJ
ambas,1,1,8,NUM
penetrar,,,8,VERB
interrumpió,,4,8,VERB
acercó,9,48,8,VERB
dolor,21,4,8,NOUN
pequeña,5,3,8,ADJ
actos,,6,8,NOUN
vuelta,6,1,8,NOUN
miraban,2,23,8,VERB
detener,,4,8,VERB
estancia,,,8,NOUN
correr,6,12,8,VERB
larga,3,6,8,ADJ
choza,,1,8,NOUN
dejarse,1,3,8,VERB
ganar,,2,8,VERB
pueblos,,4,8,NOUN
sacudió,1,1,8,VERB
pasaba,1,20,8,VERB
temor,4,6,8,NOUN
echar,2,1,8,VERB
ponía,3,6,8,VERB
acechaba,1,1,8,VERB
uso,,3,8,NOUN
pusieron,,13,8,VERB
soldados,,6,8,NOUN
decisión,1,2,8,NOUN
sufrimiento,3,,8,NOUN
acerca,,3,8,ADV
tiempos,1,4,8,NOUN
refugiarse,,1,8,VERB
creyó,4,1,8,VERB
mismas,1,6,8,DET
aquella,24,6,8,DET
preparar,2,2,8,VERB
conozco,2,1,8,VERB
juventud,2,1,8,NOUN
decidió,2,2,8,VERB
seguridad,4,2,8,NOUN
sala,6,5,8,NOUN
pronunciar,1,1,8,VERB
buscar,5,15,8,VERB
lugar,15,52,8,NOUN
tuxtla,,,8,ADJ
palma,1,2,8,NOUN
dando,5,15,8,VERB
incapaz,,5,8,ADJ
frases,3,9,8,NOUN
hombros,2,9,8,NOUN
tomado,,1,8,ADJ
procurando,,,8,VERB
compañeros,,2,8,NOUN
largo,12,14,8,ADJ
círculo,,9,8,NOUN
vale,1,4,8,VERB
haría,6,1,8,VERB
observaba,3,8,8,VERB
llanto,4,4,8,NOUN
repentinamente,1,1,8,ADV
iguales,2,5,8,ADJ
señal,2,2,8,NOUN
contaba,5,2,8,VERB
nombres,,5,8,NOUN
crimen,,7,8,NOUN
enorme,4,3,8,ADJ
satisfacer,,,8,VERB
darse,7,7,8,VERB
precisamente,2,1,8,ADV
vuelve,6,1,8,VERB PROPN
importa,4,5,8,VERB
papeles,2,4,8,NOUN
margen,1,1,8,NOUN ADJ
acababa,,7,8,VERB
empezaron,2,7,8,VERB
alcanzaba,1,3,8,VERB
coyuntura,,,8,NOUN
libre,1,3,8,ADJ
primeras,1,8,8,ADJ
dejando,3,7,8,VERB
antiguo,,1,8,ADJ
escuchaban,1,5,8,VERB
caminar,7,9,8,VERB
aceptó,2,8,8,VERB
buenas,3,7,8,ADJ
llegaban,1,17,8,VERB
espaldas,3,5,7,NOUN
posición,,,7,NOUN
habitantes,1,6,7,NOUN
ruidos,1,4,7,ADJ NOUN
anciano,,,7,ADJ
sabemos,1,6,7,VERB
ofrendas,,,7,NOUN
ayudar,1,1,7,VERB
solas,5,5,7,ADJ
avidez,,5,7,NOUN
corren,,,7,VERB
libertad,,2,7,NOUN
cosecha,,1,7,VERB NOUN
prefirió,1,2,7,VERB
juncia,,,7,NOUN
alarde,,,7,NOUN
sustancia,,,7,NOUN
sentir,10,4,7,VERB
mejor,1,1,7,ADV
visitas,2,4,7,NOUN
mejores,,1,7,ADJ
naturalmente,,,7,ADV
viejos,,2,7,ADJ
vientre,4,,7,ADJ
pequeñas,,,7,ADJ
aprendido,,,7,ADJ
atrevía,,5,7,VERB
alcance,,2,7,NOUN
ausencia,,4,7,NOUN
lleva,1,5,7,VERB
vinieron,2,5,7,VERB
llamado,,2,7,ADJ
advirtió,,2,7,VERB
hicieran,,2,7,VERB
comprender,2,,7,VERB
párpados,7,4,7,NOUN
decidido,1,1,7,ADJ
cesaba,,,7,VERB
desempeñar,,,7,VERB
hábitos,,,7,NOUN
dispuesto,2,2,7,ADJ
golpeaba,1,,7,VERB
realidad,12,4,7,NOUN
deseos,3,1,7,NOUN
conciencia,2,,7,NOUN
misión,,4,7,NOUN
fracaso,,1,7,NOUN
sentarse,2,2,7,VERB
ocasión,1,,7,NOUN
historias,4,,7,NOUN
detalles,1,1,7,NOUN
perder,2,5,7,VERB
parece,5,6,7,VERB
cubría,,5,7,VERB
llenaba,3,5,7,VERB
leyes,,,7,NOUN
nació,4,1,7,VERB
deben,,4,7,AUX
cedió,,2,7,VERB
intolerable,,2,7,ADJ
cuentan,,2,7,VERB
patrones,,,7,NOUN
llevó,2,14,7,VERB
hijas,,2,7,NOUN
signo,,,7,NOUN
odio,3,2,7,NOUN
varas,,,7,NOUN
