,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
luminoso,,8,,ADJ
andar,,8,16,VERB
lengua,6,8,11,NOUN
anoche,,8,2,ADV
miradas,1,8,4,NOUN
oficial,,8,,ADJ
perdida,1,8,2,ADJ
caminos,2,8,4,NOUN
espiaba,,8,4,VERB
lunes,,8,,NOUN
entrado,4,8,5,ADJ
afuera,1,8,5,ADV
reflejos,,8,,NOUN
caprichos,,7,1,NOUN
pobre,3,7,19,ADJ
capaz,3,7,37,ADJ
irse,2,7,1,VERB AUX
segundo,1,7,2,ADJ
guardaban,,7,3,VERB
rompió,,7,4,VERB
presos,,7,1,NOUN
jardín,3,7,2,NOUN
risas,1,7,2,NOUN
retiró,1,7,9,VERB
atención,8,7,23,NOUN
crimen,,7,8,NOUN
veces,13,7,1,NOUN ADV
dejado,3,7,3,ADJ
queda,1,7,15,NOUN VERB
último,1,7,30,NOUN ADJ
buenas,3,7,8,ADJ
fecha,1,7,5,NOUN
llevaban,,7,7,VERB
observó,1,7,,VERB
desaparecieron,,7,1,VERB
bailando,2,7,1,VERB
teatro,,7,,NOUN
darse,7,7,8,VERB
dejando,3,7,8,VERB
color,2,7,1,NOUN ADJ
repetían,,7,1,VERB
asustadas,,7,,ADJ
respondió,2,7,4,VERB
empezaron,2,7,8,VERB
acababa,,7,8,VERB
permiso,,7,1,NOUN
brillantes,2,7,,ADJ
inése,,7,,PROPN
contó,2,7,5,VERB
llevaron,,7,5,VERB
cambiar,1,7,6,VERB
pudiera,8,7,13,AUX
comunicaba,,7,1,VERB
pistoleros,,7,,NOUN
bastaba,1,7,14,VERB
empedrado,,7,,ADJ
nombrar,,7,1,VERB
oficiales,1,7,1,ADJ
cerraba,2,7,3,VERB
baile,2,7,9,NOUN
país,2,7,6,NOUN
empezaba,5,7,5,VERB
coñac,,7,,NOUN
sentadas,1,7,3,ADJ
error,1,7,4,NOUN
nostalgia,1,7,5,NOUN
riéndose,,7,,VERB
tomar,5,7,12,VERB
bandeja,,7,,NOUN
visillos,,7,1,NOUN VERB
bajaba,2,7,2,VERB
podemos,2,7,6,AUX
cárcel,,7,9,NOUN
quedar,2,7,11,VERB
llorando,,7,,VERB
tirado,1,7,3,ADJ
desapareció,,7,2,VERB
contempló,,7,10,VERB
pantalón,,7,1,NOUN
busca,1,7,8,NOUN VERB
guardar,1,7,4,VERB
mirada,31,7,33,NOUN
segura,1,7,8,ADJ
recibió,2,7,8,VERB
doce,2,7,2,NUM
despacio,2,7,,ADV
acera,1,7,,NOUN
espiaban,,7,1,VERB
inútil,2,7,4,ADJ
levantaba,4,7,2,VERB
desorden,1,7,4,NOUN
brillaban,,7,1,VERB
alejarse,1,7,3,VERB
permanecía,2,7,12,VERB
sabíamos,1,7,,VERB
luz,25,7,9,NOUN
pasaban,1,7,5,VERB
contestó,,7,2,VERB
atreverse,3,7,6,VERB
acercaron,2,7,3,VERB
ajeno,3,7,3,ADJ
noches,4,7,5,NOUN
regreso,,7,11,NOUN
teniente,,7,,NOUN
primeros,3,7,16,ADJ
salían,,7,3,VERB
pequeño,16,7,11,ADJ
tirados,,7,1,ADJ
juntos,3,7,3,ADJ
noticia,,7,9,NOUN
entraban,,7,3,VERB
cuesta,,7,2,VERB
oscuros,1,7,3,ADJ
dialogo,,7,,NOUN
mostró,1,7,6,VERB
entero,,7,8,ADJ
viene,3,7,14,VERB
pálido,1,7,2,ADJ
señalando,,7,6,VERB
encendió,3,7,2,VERB
continuaron,,7,6,VERB
cerradas,,7,6,ADJ
tocar,3,7,5,VERB
brillante,2,6,2,ADJ
matrimonio,,6,10,NOUN
sombrío,,6,1,ADJ
llegando,,6,,VERB
soldados,,6,8,NOUN
impresión,1,6,5,NOUN
conversación,2,6,14,NOUN
quietos,,6,1,ADJ
fumaba,,6,1,VERB
hermanas,,6,2,NOUN
llenaban,,6,1,VERB
rendijas,,6,1,NOUN VERB
tardes,2,6,,NOUN
esperábamos,,6,,VERB
personaje,,6,1,NOUN
seña,,6,1,NOUN
ahuyentar,,6,5,VERB
mismas,1,6,8,DET
continuaba,2,6,6,VERB
sentados,,6,1,ADJ
aquella,24,6,8,DET
entera,,6,2,ADJ
lenguas,,6,,NOUN
venga,1,6,2,VERB
tía,2,6,,NOUN
pálida,2,6,1,ADJ
diga,2,6,2,VERB
metió,2,6,1,VERB
ocurrió,2,6,4,VERB
faltaba,2,6,11,VERB
rodeado,2,6,2,ADJ
mismos,2,6,1,DET
libro,2,6,6,NOUN
dejaban,2,6,11,VERB
alcanzar,,6,2,VERB
valor,1,6,5,NOUN
convirtió,,6,3,VERB
colocó,,6,5,VERB
abierto,,6,5,ADJ
cruzaron,,6,1,VERB
actos,,6,8,NOUN
dijeron,2,6,,VERB
caído,,6,1,ADJ VERB
cerrar,2,6,6,VERB
cocula,,6,,ADJ
parejas,,6,2,NOUN
cruces,,6,1,NOUN
suerte,2,6,7,NOUN
malo,,6,1,ADJ
distancia,2,6,10,NOUN
extranjero,,6,2,NOUN ADJ
gritaron,,6,1,VERB
escondía,,6,,VERB
perderse,,6,2,VERB
desprecio,3,6,3,NOUN
posible,7,6,31,ADJ
vigilaban,,6,,VERB
triste,3,6,2,ADJ
cielos,,6,,NOUN
juego,7,6,4,NOUN
blanca,1,6,2,ADJ
movimiento,6,6,12,NOUN
natural,7,6,9,ADJ
noche,1,6,1,NOUN
alegre,3,6,1,ADJ
sabemos,1,6,7,VERB
larga,3,6,8,ADJ
repetir,1,6,2,VERB
paisajes,1,6,,NOUN
rejas,,6,1,NOUN
desconocido,1,6,1,ADJ
rompía,1,6,2,VERB
sonreía,1,6,3,VERB
algún,4,6,32,DET
encontraban,1,6,3,VERB
zapatos,1,6,5,NOUN
curiosos,1,6,,NOUN ADJ
habitantes,1,6,7,NOUN
padres,1,6,3,ADJ NOUN
medida,1,6,4,ADJ NOUN
tierra,1,6,2,NOUN PROPN
vida,4,6,6,NOUN
pregunta,1,6,1,VERB
joven,4,6,3,ADJ
hora,9,6,10,NOUN
caso,1,6,24,NOUN
piedad,4,6,1,NOUN
hacerse,4,6,12,VERB
pudo,10,6,51,AUX
temor,4,6,8,NOUN
enormes,1,6,6,ADJ
creo,7,6,3,VERB
paseaba,1,6,2,VERB
escuchar,1,6,12,VERB
rostros,1,6,5,NOUN
ganas,4,6,,NOUN
supimos,,6,,VERB
cambio,6,6,10,NOUN
ninguno,3,6,38,PRON
separó,1,6,2,VERB
caminaba,7,6,1,VERB
encuentra,1,6,6,VERB
estrellas,1,6,1,NOUN
esfuerzo,4,6,24,NOUN
certeza,3,6,2,NOUN
montañas,1,6,2,NOUN
tristeza,1,6,1,NOUN
enterrar,,6,,VERB
ponía,3,6,8,VERB
bulto,,6,1,NOUN
mala,1,6,11,ADJ
asombro,1,6,6,NOUN
vengo,,6,1,VERB
deja,4,6,20,VERB
muchachas,5,6,9,NOUN
idas,,6,,NOUN
lloraba,5,6,6,VERB
apagaron,,6,,VERB
desconocida,1,6,1,ADJ
