,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
paseo,1,3,2,VERB NOUN
muchachos,3,1,2,NOUN ADJ
camino,7,26,20,NOUN
cantamos,1,1,,VERB
quedarnos,2,,1,VERB
gargantas,1,,1,ADJ NOUN
brecha,1,,,NOUN
desembocó,2,,,VERB
horizonte,1,1,1,PROPN ADV NOUN
vimos,2,12,2,VERB
reverberar,1,,,VERB
quedamos,5,1,2,VERB
macizo,1,,1,NOUN
palmeras,2,1,,NOUN
dejamos,1,2,,VERB
bastimento,1,,2,NOUN
eligió,1,2,,VERB
duna,1,,,NOUN
retumbo,1,,,ADJ
mar,9,1,1,NOUN PROPN
caía,2,8,2,VERB
sordo,1,1,1,ADJ
pesado,3,1,3,ADJ
untándome,1,,,NOUN
aceite,3,1,2,NOUN ADJ
acerqué,2,,,VERB
línea,2,2,1,NOUN
húmeda,3,1,1,ADJ
marea,1,,,NOUN
deja,4,6,20,VERB
costra,1,,1,NOUN
olas,2,1,,NOUN
oí,15,,,VERB
gritos,1,24,5,NOUN
volví,7,1,,VERB
separados,2,,,ADJ
sol,3,14,6,NOUN
dan,3,3,7,VERB
vinieron,2,5,7,VERB
corriendo,8,8,7,VERB
pareció,27,40,13,VERB
iban,1,3,6,VERB AUX
momento,5,4,28,NOUN
hacerlo,5,1,6,VERB
frenó,1,,,VERB
echados,1,1,,ADJ
delante,9,23,16,ADV
cantidad,2,,6,NOUN
arena,1,1,1,VERB PROPN NOUN
dejaba,10,29,13,VERB
bruces,1,1,1,NOUN ADJ
fuerza,4,3,9,NOUN
total,2,1,6,ADJ
confianza,1,2,9,NOUN
clavado,1,,,ADJ
quedaron,2,27,6,VERB
flancos,1,,2,ADJ NOUN
ambos,3,2,10,NUM
brillantes,2,7,,ADJ
pesar,9,3,9,NOUN
escuchar,1,6,12,VERB
jadeo,1,,1,ADJ NOUN
mirarlos,1,,1,VERB
sacudiendo,2,,,VERB
echado,2,4,2,ADJ
bruto,1,,,ADJ
caes,1,,,VERB
mira,2,3,1,VERB NOUN
cómo,20,35,53,PRON
dejaste,1,,3,VERB
tal,5,2,2,NOUN DET
observaba,3,8,8,VERB
enseñar,1,,1,VERB
ejercicios,1,,,NOUN
pentatlón,1,,,NOUN
pasar,11,32,15,VERB
costillas,1,,1,NOUN
brincó,1,,,VERB
desmesurado,1,,,ADJ
tosco,1,,2,ADJ
torso,1,1,,ADJ NOUN
miembros,3,1,3,NOUN
esbeltos,2,,,ADJ
confundidos,1,1,1,ADJ
haz,1,,1,VERB
nervioso,1,,,ADJ
lleno,5,13,4,ADJ
arrodilló,1,,6,VERB
dobló,3,2,,VERB
haciendo,12,20,21,VERB
obstáculo,1,1,4,NOUN
compacto,1,,,ADJ
salto,3,3,,NOUN
tigre,1,,1,PROPN
iniciar,1,1,1,VERB
tendida,3,6,1,ADJ
contraerse,1,,,VERB
lanzarse,1,1,2,VERB
extendidas,1,,,ADJ
adelante,4,4,6,ADV
oculta,1,,9,ADJ
estiró,1,1,2,VERB
infinitamente,1,2,1,ADV
quedó,29,51,25,VERB
suspendido,2,1,,ADJ
dorado,2,1,1,ADJ
tersa,1,,,ADJ
río,2,4,6,NOUN
fluía,1,1,1,VERB
entendía,2,5,4,VERB
necesidad,2,1,11,NOUN
alguna,16,8,35,DET
salvar,2,,2,VERB
trataba,4,1,11,VERB
tenderse,2,,,VERB
armonía,1,1,,PROPN VERB
propio,3,2,1,ADJ
ambiente,1,1,1,PROPN DET
sé,1,26,11,VERB
cayó,3,19,11,VERB
levanté,5,,,VERB
encaminé,1,,,VERB
entrando,2,5,1,VERB
paso,18,2,13,NOUN
segura,1,7,8,ADJ
fría,3,1,1,ADJ
pasé,4,,,VERB
